,teamID,year,first_middle,last,pos1,pos2,nat,height_cm,#
0,CTC,2017,Le,Nguycn,C,,Vietnam,,3
1,CTC,2017,Thanh,Hucnh,,,Vietnam,,4
2,CTC,2017,Nguycn,Hoang,,,Vietnam,,6
3,CTC,2017,Du-Minh,An,G,F,Vietnam,180.0,7
4,CTC,2017,Ngcc,Nguycn,,,Vietnam,,8
5,CTC,2017,Thanh,Dinh,,,Vietnam,,11
6,CTC,2017,Hucnh,Nguycn,,,Vietnam,,12
7,CTC,2017,Le-Van,Day,F,,Vietnam,185.0,13
8,CTC,2017,Hamilton,DeAngelo,F,C,USA,203.0,21
9,CTC,2017,Dinh-Duy,Tan,G,F,Vietnam,192.0,23
10,CTC,2017,Nguyen-Hoang,Tu,F,,Vietnam,184.0,52
11,CTC,2017,Huynh-Huu,Thang,F,,Vietnam,,77
12,CTC,2018,Tang-Minh,Tri,G,F,Vietnam,,1
13,CTC,2018,Dinh-Thanh,Sang,G,F,Vietnam,,11
14,CTC,2018,Hamilton,DeAngelo,F,C,USA,203.0,17
15,CTC,2018,Dinh-Thanh,Tam,F,G,Vietnam,192.0,23
16,CTC,2018,Le-Hieu,Thanh,G,,Vietnam,180.0,65
17,DND,2017,Nguyen,Horace,PG,,USA,178.0,0
18,DND,2017,Thinh-Tran,Tien,G,F,Vietnam,191.0,1
19,DND,2017,Pham,Nguyen,G,,Vietnam,175.0,3
20,DND,2017,Nguyen,Tuan,PG,,Vietnam,178.0,12
21,DND,2017,Le,Thang,G,,Vietnam,189.0,14
22,DND,2017,Joly,Rudolphe,C,,Canada,208.0,25
23,DND,2017,Tim,Waale,F,G,Denmark,193.0,34
24,DND,2017,Nguyen-Tuan,Vinh,C,,Vietnam,,39
25,DND,2017,Van-My,Vo,PG,,Vietnam,180.0,77
26,DND,2018,Nguyen,Horace,PG,,USA,178.0,0
27,DND,2018,Mai,T,,,Vietnam,,5
28,DND,2018,Thinh-Tran,Tien,G,F,Vietnam,191.0,10
29,DND,2018,Vo-Thanh,Dot,G,,Vietnam,,11
30,DND,2018,Nguyen,Tuan,PG,,Vietnam,178.0,12
31,DND,2018,Huynh,Khang,C,,Vietnam,,14
32,DND,2018,Dang-Quang,Vinh,G,,Vietnam,,19
33,DND,2018,Dierker,Chris,F,,USA,201.0,20
34,DND,2018,Tran-Qahh,T,,,Vietnam,,21
35,DND,2018,Thai-Binh,Duong,,,Vietnam,,22
36,DND,2018,Allmon,Zach,F,,USA,203.0,23
37,DND,2018,Vo-Van,Thanh,G,,Vietnam,,77
38,HCW,2017,Nguyen,Henry,G,,USA,,2
39,HCW,2017,Chong,Paul,PF,,Vietnam,184.0,10
40,HCW,2017,Nguyen,Quan,F,,Vietnam,191.0,14
41,HCW,2017,Le-Tran,Huynh,F,,Vietnam,180.0,15
42,HCW,2017,Hoang,Dung,G,,Vietnam,189.0,19
43,HCW,2017,Richardson,Bilal,F,,USA,203.0,23
44,HCW,2017,Le-Cong,Tuan,C,,Vietnam,188.0,25
45,HCW,2017,Nguyen-Lam-Anh,Duy,F,,Vietnam,183.0,36
46,HCW,2017,Nguyen,Thanh,SG,,Australia,180.0,91
47,HCW,2018,Nguyen-Quoc,Thanh,SG,,Vietnam,,1
48,HCW,2018,Nguyen,Henry,PF,,USA,,2
49,HCW,2018,Nguyen-Le-Quoc,Cuong,SG,,Vietnam,,3
50,HCW,2018,Doggett,Quinton,F,,USA,206.0,4
51,HCW,2018,Nguyen-Thanh,Nhan,PF,,Australia,191.0,6
52,HCW,2018,Nguyen-Huynh,Hai,SF,,Vietnam,,7
53,HCW,2018,Dao-Lap,Xuan,,,Vietnam,,12
54,HCW,2018,Nguyen-Ky,Quan,F,,Vietnam,191.0,14
55,HCW,2018,Le-Tran-Dang,Huynh,PF,,Vietnam,182.0,15
56,HCW,2018,Cilia,Corey,G,,USA,181.0,22
57,HCW,2018,Tran-Vien,Huan,F,,Vietnam,,23
58,HCW,2018,Le-Cong-Tuan,Anh,C,,Vietnam,188.0,25
59,HCW,2018,Vu-Doan-Minh,Phuong,,,Vietnam,,29
60,HNB,2017,Dinh-Tien,Cong,F,,Vietnam,182.0,1
61,HNB,2017,Arorld,Ryan,,,Vietnam,,2
62,HNB,2017,Nguyen-Thanh,Dat,G,,Vietnam,174.0,3
63,HNB,2017,Nguyen,Vincent,PG,,Holland,178.0,4
64,HNB,2017,Dang-Thai,Hung,F,,Vietnam,189.0,7
65,HNB,2017,Nguyen-Phu,Hoang,G,,Vietnam,174.0,10
66,HNB,2017,Pham,Tung,F,,Vietnam,196.0,13
67,HNB,2017,Collins,Jordan,PF,,USA,208.0,18
68,HNB,2017,Nguyen,Duong,SG,,Vietnam,180.0,90
69,HNB,2018,Dinh-Tien,Cong,F,,Vietnam,182.0,1
70,HNB,2018,Nguyen-Thanh,Dat,SG,,Vietnam,179.0,3
71,HNB,2018,Nguyen,Vincent,PG,,Holland,178.0,4
72,HNB,2018,Nguyen,Duong,SG,,Vietnam,180.0,7
73,HNB,2018,Tu-Le,Ngoc,PG,,Vietnam,179.0,8
74,HNB,2018,Bell,Michael,F,,USA,206.0,9
75,HNB,2018,Doan,Tung,F,,Vietnam,186.0,11
76,HNB,2018,Pham,Tung,F,C,Vietnam,196.0,13
77,HNB,2018,Nguyen,Stefan,G,,Sweden,190.0,24
78,SGH,2017,Lan-Hong,Gia,F,,Vietnam,,0
79,SGH,2017,Arnold,David,SG,,USA,188.0,6
80,SGH,2017,Tu-Le,Ngoc,PG,,Vietnam,179.0,14
81,SGH,2017,Lewis,Darius,C,,USA,211.0,15
82,SGH,2017,Bui-Quoc,Tan,F,,Vietnam,186.0,69
83,SGH,2018,Hong-Gia,Lan,PF,,Vietnam,,0
84,SGH,2018,Du-Minh,An,G,F,Vietnam,180.0,1
85,SGH,2018,Nix,Tavarion,F,C,USA,201.0,3
86,SGH,2018,Tran-Dang,Hien,SG,,Vietnam,,7
87,SGH,2018,Tran-Dang,Khoa,G,,Vietnam,,8
88,SGH,2018,Vo-Kim-Ban,Duc,F,G,Vietnam,184.0,11
89,SGH,2018,Tran-Vu,Linh,F,,Vietnam,187.0,33
90,SGH,2018,Waale,Tim,F,G,Denmark,193.0,34
91,SGH,2018,Nguyen,Tony,PG,,Canada,,35
92,SGH,2018,Huynh-Vinh,Quang,SF,,Vietnam,,77
93,SGH,2018,Trieu-Han,Minh,PG,,Vietnam,178.0,98
94,SGH,2019,Tavarion,Nix,PF,,USA,201.0,3
95,TLW,2017,Bui,Ha,SG,,Vietnam,178.0,3
96,TLW,2017,To,Quang,PG,,Vietnam,180.0,5
97,TLW,2017,Truong,Trung,SF,,Vietnam,175.0,6
98,TLW,2017,Vu,Tu,PG,,Vietnam,181.0,8
99,TLW,2017,Djo,Nam,SG,,Vietnam,182.0,9
100,TLW,2017,Nguyen-Van,Hung,G,F,Vietnam,187.0,10
101,TLW,2017,Young,Justin,F,C,USA,201.0,12
102,TLW,2017,Le,Ryan,,,Vietnam,,18
103,TLW,2017,Phan-Minh,Luyen,G,F,Vietnam,179.0,19
104,TLW,2017,Hill,Jaywuan,F,C,USA,203.0,20
105,TLW,2017,Hoang,Hien,SF,,Vietnam,187.0,21
106,TLW,2018,Doan-Nhat,Quang,,,Vietnam,,1
107,TLW,2018,Nguyen-Tuan,Anh,F,C,Vietnam,,4
108,TLW,2018,To-Quang,Trung,SG,,Vietnam,180.0,5
109,TLW,2018,Truong-Hoang,Trung,SF,,Vietnam,175.0,6
110,TLW,2018,Dang-Thai,Hung,PF,,Vietnam,188.0,7
111,TLW,2018,Le,Ryan,,,Vietnam,,8
112,TLW,2018,Do-Xuan,Nam,SG,,Vietnam,182.0,9
113,TLW,2018,Ngo-Tuan,Trung,F,,Vietnam,175.0,11
114,TLW,2018,Young,Justin,PF,,USA,197.0,12
115,TLW,2018,Hill,Jaywuan,F,C,USA,203.0,20
116,TLW,2018,Hoang-The,Hien,SF,,Vietnam,187.0,21
117,CTC,2017,Brown,Khalil,F,,USA,206.0,-1
118,CTC,2017,Linh-Tran,Vu,F,,Vietnam,187.0,8
119,CTC,2017,Nguyen-Vu-Binh,Nguyen,G,,Vietnam,175.0,19
120,CTC,2017,Lam-Thanh,Dahn,G,,Vietnam,,-1
121,CTC,2017,Le-Hyeu,Thahn,F,,Vietnam,186.0,-1
122,CTC,2017,Le-Hieu,Thanh,PG,,Vietnam,180.0,-1
123,CTC,2017,Huynh-Hyu,Le,G,,Vietnam,189.0,-1
124,CTC,2018,Nguyen-Phu,Hoang,PG,,Vietnam,,0
125,CTC,2018,Pham-Duy,Hcu,SF,,Vietnam,,56
126,CTC,2018,Du-Quoc,Tai,PG,,Vietnam,,7
127,CTC,2018,Nguyen-Hoang,Tu,F,,Vietnam,,52
128,CTC,2018,Tran-Nguyen,Duong,PF,,Vietnam,,8
129,CTC,2018,Nguyen-Huynh,Vinh,C,,Vietnam,,12
130,CTC,2019,DeAngelo,Hamilton,F,C,USA,203.0,1
131,CTC,2019,Tam-Dinh,Thanh,F,G,Vietnam,192.0,23
132,CTC,2019,Sang-Dinh,Thanh,G,F,Vietnam,185.0,19
133,CTC,2019,Hoang-Nguyen,Phu,PG,,Vietnam,,3
134,CTC,2019,Thanh-Le,Hieu,G,,Vietnam,180.0,65
135,CTC,2019,Michael,Vigilance,F,,USA,203.0,34
136,CTC,2019,Hcu-Pham,Duy,SF,,Vietnam,,3
137,CTC,2019,Tu-Nguyen,Hoang,F,,Vietnam,,52
138,CTC,2019,Khang,Huynh,F,,Vietnam,,14
139,CTC,2019,Tri-Tang,Minh,G,F,Vietnam,,15
140,CTC,2019,Nguyen-Nguyen-Vu,Binh,G,,Vietnam,175.0,25
141,CTC,2019,Huy-Nguyen,Quang,,,Vietnam,,9
142,CTC,2019,Linh-Le,Hoai,,,Vietnam,,11
143,CTC,2019,Hung-Nguyen,Thinh,,,Vietnam,,0
144,CTC,2019,Khoa-Hoang,Minh,,,Vietnam,,18
145,SGH,2017,Henriquez-Roberts,Jordan,C,,USA,214.0,24
146,SGH,2017,Daniel,Lenny,PF,,USA,203.0,2
147,SGH,2017,Nguyen-Van,Hung,G,F,Vietnam,193.0,10
148,SGH,2017,Nguyen-Sanh,Tan,G,,Vietnam,,11
149,SGH,2017,Charles,Christien,F,C,USA,216.0,21
150,SGH,2017,Nguyen-Huynh,Hai,PG,,Vietnam,174.0,-1
151,SGH,2017,Nguyen,Tan,F,,Vietnam,191.0,15
152,SGH,2017,Bui-Van,Cong,G,,Vietnam,,30
153,SGH,2017,Van-Trung,Tran,G,,Vietnam,186.0,91
154,SGH,2017,Pham-Pham,Duy,PG,,Vietnam,182.0,8
155,SGH,2017,Nguyen,Tung,G,,Vietnam,173.0,1
156,SGH,2018,Nguyen,Horace,PG,,USA,178.0,0
157,SGH,2018,Young,Justin,PF,,USA,197.0,12
158,SGH,2018,Nguyen,Stefan,G,,Sweden,190.0,24
159,SGH,2018,Scott,Akeem,G,,Jamaica,185.0,9
160,SGH,2018,Tu-Le,Ngoc,PG,,Vietnam,179.0,14
161,SGH,2018,Jones,Travele,PF,,USA,203.0,14
162,SGH,2018,Morgan,Moses,SF,,USA,198.0,7
163,SGH,2018,Nguyen-Huynh,Hai,PG,,Vietnam,174.0,17
164,SGH,2018,Huy-Hoan,Vo,SF,,Vietnam,,9
165,SGH,2019,Richard,Nguyen,G,,Vietnam,,2
166,SGH,2019,An-Du,Minh,G,F,Vietnam,180.0,7
167,SGH,2019,Minh-Trieu,Han,PG,,Vietnam,178.0,98
168,SGH,2019,Vinh-Nguyen,Huynh,C,,Vietnam,198.0,12
169,SGH,2019,Khoa-Tran,Dang,G,,Vietnam,170.0,8
170,SGH,2019,Tim,Waale,F,G,Denmark,190.0,30
171,SGH,2019,Kim-Ban,Vo,,,Vietnam,,11
172,SGH,2019,Pham-Duc,Kien,F,,Vietnam,198.0,20
173,SGH,2019,Quang-Huynh,Vinh,SF,,Vietnam,,52
174,SGH,2019,Tony,Nguyen,PG,,Canada,179.0,35
175,HCW,2017,Ngo-Tuan,Trung,PG,,Vietnam,178.0,11
176,HCW,2017,Trieu-Han,Minh,PG,,Vietnam,178.0,-1
177,HCW,2017,Nguyen-Tuan,Anh,C,,Vietnam,,-1
178,HCW,2018,Nguyen-Quoc,Thai,SG,,Vietnam,,1
179,HCW,2018,Nguyen-Tuan,Anh,F,C,Vietnam,,4
180,HCW,2019,Vinh-Nguyen,Quang,,,Vietnam,,4
181,HCW,2019,Michael,Soy,G,,Philippines,186.0,3
182,HCW,2019,Phuong-Vu-Doan,Minh,,,Vietnam,,29
183,HCW,2019,Cuong-Nguyen-Le,Quoc,SG,,Vietnam,,19
184,HCW,2019,Wayne,Martin,F,,USA,201.0,-1
185,HCW,2019,Tung,Pham,F,C,Vietnam,196.0,13
186,HCW,2019,Quan-Nguyen,Ky,F,,Vietnam,191.0,14
187,HCW,2019,Huynh-Le-Tran,Dang,PF,,Vietnam,182.0,15
188,HCW,2019,Luan-Cao,Dac,PF,,Vietnam,188.0,16
189,HCW,2019,Chung-Nguyen,Minh,,,Vietnam,,20
190,HCW,2019,Thanh-Nguyen,Quoc,SG,,Vietnam,,1
191,HCW,2019,Huan-Tran,Vien,F,,Vietnam,,15
192,HCW,2019,Thai-Nguyen,Quoc,SG,,Vietnam,,12
193,HCW,2019,Tu,Hoang,,,Vietnam,,2
194,HCW,2019,Trong-Vo,Duy,,,Vietnam,,21
195,TLW,2017,Xuan-Quoc,Nguyen,,,Vietnam,,7
196,TLW,2018,Bui-Thai,Ha,G,,Vietnam,178.0,14
197,TLW,2019,Zach,Allmon,F,,USA,203.0,23
198,TLW,2019,Jaywuan,Hill,F,C,USA,203.0,-1
199,TLW,2019,Justin,Young,PF,,USA,190.0,12
200,TLW,2019,Dat-Nguyen,Thanh,SG,,Vietnam,179.0,3
201,TLW,2019,Hung-Dang,Thai,PF,,Vietnam,188.0,7
202,TLW,2019,Lan-Hong,Gia,PF,,Vietnam,,0
203,TLW,2019,Duong,Nguyen,SG,,Vietnam,180.0,83
204,TLW,2019,Hien-Hoang,The,SF,,Vietnam,187.0,21
205,TLW,2019,Trung-Ngo,Tuan,F,,Vietnam,175.0,6
206,TLW,2019,Quoc-Nguyen,Xuan,F,,Vietnam,187.0,1
207,TLW,2019,Trung-Truong,Hoang,SF,,Vietnam,175.0,6
208,TLW,2019,Quang-Doan,Nhat,,,Vietnam,,8
209,TLW,2019,Trung-Báº¡ch,Cong,,,Vietnam,,9
210,TLW,2019,Anh-Mai,Viet,,,Vietnam,,24
211,TLW,2019,Nam-Pham,Thanh,,,Vietnam,,18
212,TLW,2019,Anh-Nguyen,Viet,,,Vietnam,,10
213,HNB,2017,Hoang,Tony,G,,Vietnam,167.0,3
214,HNB,2017,Do-Huy,Hoang,,,Vietnam,,15
215,HNB,2017,Vu-Duc,Thai,,,Vietnam,,98
216,HNB,2018,Kien-Pham,Duc,F,,Vietnam,198.0,98
217,HNB,2019,Michael,Bell,F,,USA,206.0,6
218,HNB,2019,Cong-Dinh,Tien,F,,Vietnam,182.0,1
219,HNB,2019,Tung,Doan,F,,Vietnam,186.0,11
220,HNB,2019,Tran,Ngoc,PG,,Vietnam,184.0,19
221,HNB,2019,Stefan,Nguyen,G,,Sweden,190.0,24
222,HNB,2019,Ngoc-Tu,Le,PG,,Vietnam,179.0,12
223,HNB,2019,Henry,Nguyen,PF,,USA,170.0,2
224,HNB,2019,Hai-Nguyen,Huynh,SF,,Vietnam,,7
225,HNB,2019,Nam-Do,Xuan,SG,,Vietnam,182.0,9
226,HNB,2019,Ha-Bui,Thai,G,,Vietnam,178.0,14
227,HNB,2019,Anh-Nguyen,Quang,F,,Vietnam,,88
228,HNB,2019,Ha-Bui,Nguyn,,,Vietnam,,29
229,HNB,2019,Vinh-Nguyen,Van,SG,,Vietnam,,15
230,DND,2017,Nguyen,Stefan,G,,Sweden,190.0,-1
231,DND,2017,Dai-Dam,Huy,PG,,Vietnam,180.0,24
232,DND,2018,Tran-Quoc,Toan,,,Vietnam,,10
233,DND,2018,Dai-Dam,Huy,PG,,Vietnam,180.0,68
234,DND,2018,Tran-Bao,Nguyen,,,Vietnam,,6
235,DND,2018,Quang-Phuc,Tran,,,Vietnam,,3
236,DND,2018,Tran-Hcu,Rin,SG,,Vietnam,,9
237,DND,2019,Anthony,January,F,,USA,203.0,44
238,DND,2019,Horace,Nguyen,PG,,USA,178.0,0
239,DND,2019,Tam-Son,Minh,,,Vietnam,,77
240,DND,2019,Hung-Nguyen,Van,G,F,Vietnam,187.0,10
241,DND,2019,Hung-Nguyen,Van,G,F,Vietnam,193.0,99
242,DND,2019,Dam-Huy,Dai,PG,,Vietnam,180.0,68
243,DND,2019,Tam-Huynh,Thanh,,,Vietnam,,4
244,DND,2019,Austin,Ly,G,,Canada,175.0,7
245,DND,2019,Hien-Tran,Dang,SG,,Vietnam,,19
246,DND,2019,Tan-Bui,Quoc,F,,Vietnam,186.0,69
247,DND,2019,Hoang-Vu,Viet,,,Vietnam,,17
248,DND,2019,Truong-Ho,Quoc,,,Vietnam,,24
249,DND,2019,Rin-Tran,Hcu,SG,,Vietnam,,9
250,DND,2019,Thinh,Mai,,,Vietnam,,5
